name,region,delegation,commune,category_code,category_name,facility_type,departments
Al Kortobi,Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Madina,HR,Hôpital Régional,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Maternité"
Mohamed V,Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Madina,HR,Hôpital Régional,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Maternité"
Mohammed Vi,Tanger-Tetouan-Al Hoceima,Tanger Assilah,Bni Makada,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Centre d'oncologie,Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Madina,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Arrazi,Tanger-Tetouan-Al Hoceima,Tanger Assilah,Mghogha,HPsyR,Hôpital Psychiatrique Régional,Hôpital,"Psychiatrie,Santé mentale,Addictologie"
Assilah,Tanger-Tetouan-Al Hoceima,Tanger Assilah,Assilah,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Hôpital des spécialité Mohamed VI,Tanger-Tetouan-Al Hoceima,Tanger Assilah,Gueznaia,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Hôpital psychiatrique Mohamed VI,Tanger-Tetouan-Al Hoceima,Tanger Assilah,Gueznaia,CPU,Centre Psychiatrique Universitaire,Hôpital,"Psychiatrie,Santé mentale,Addictologie"
Hôpital mère enfant Mohamed VI,Tanger-Tetouan-Al Hoceima,Tanger Assilah,Gueznaia,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Hôpital.Civil,Tanger-Tetouan-Al Hoceima,Tetouan,Tétouan,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Errazi,Tanger-Tetouan-Al Hoceima,Tetouan,Tétouan,HPsyP,Hôpital Psychiatrique Préfectoral,Hôpital,"Psychiatrie,Santé mentale"
Ben Karrich,Tanger-Tetouan-Al Hoceima,Tetouan,Dar Bni Karrich,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Mohammed VI,Tanger-Tetouan-Al Hoceima,Mdiq-Fnideq,M'Diq,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Hassan II,Tanger-Tetouan-Al Hoceima,Mdiq-Fnideq,Fnideq,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Edderak,Oriental,Berkane,Berkane,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Ahfir,Oriental,Berkane,Ahfir,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Saidia,Oriental,Berkane,Saidia,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Midar,Oriental,Driouch,Midar,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Driouch,Oriental,Driouch,Driouch,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Figuig,Oriental,Figuig,Figuig,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Hassan II,Oriental,Figuig,Bouarfa,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Talsint,Oriental,Figuig,Talsint,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Guercif,Oriental,Guercif,Guercif,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Jrada,Oriental,Jerada,Laaouinate,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Mohammed Vi,Oriental,Nador,Al Aaroui,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Zaio,Oriental,Nador,Zaio,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Hassani,Oriental,Nador,Nador,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Al Farabi,Oriental,Oujda Angad,Oujda,HR,Hôpital Régional,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Maternité"
Hôpital Psychiatrique,Oriental,Oujda Angad,Oujda,CPU,Centre Psychiatrique Universitaire,Hôpital,"Psychiatrie,Santé mentale,Addictologie"
Hôpital des Spécialitéss,Oriental,Oujda Angad,Oujda,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Hôpital Mère-Enfant,Oriental,Oujda Angad,Oujda,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Centre d'oncoligie Hassan II,Oriental,Oujda Angad,Sidi Moussa Lemhaya,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Taourirt,Oriental,Taourirt,Taourirt,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
HPr Laayoune Sidi Mellouk,Oriental,Taourirt,El Aioun Sidi Mellouk,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Centre d'oncologie,Fès-Meknès,Meknes,Meknès,CRO,Centre Régional d'Oncologie,Hôpital,"Oncologie,Chimiothérapie,Radiothérapie,Hématologie oncologie"
Moulay Ismail,Fès-Meknès,Meknes,Meknès,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Pagnon,Fès-Meknès,Meknes,Meknès,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Mohamed V,Fès-Meknès,Meknes,Meknès,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Sidi Said,Fès-Meknès,Meknes,Meknès,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Marche Verte,Fès-Meknès,Boulemane,Missour,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
S. Ahmed B. Driss Missouri,Fès-Meknès,Boulemane,Outat El Haj,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Prince My Hassan,Fès-Meknès,El Hajeb,El Hajeb,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Omar Drissi,Fès-Meknès,Fes,Fès-Médina,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Ibn Al Baitar,Fès-Meknès,Fes,Agdal,HR,Hôpital Régional,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Maternité"
Ibn Al Hassan,Fès-Meknès,Fes,El Mariniyine,CPU,Centre Psychiatrique Universitaire,Hôpital,"Psychiatrie,Santé mentale,Addictologie"
Ibn Al Khatib,Fès-Meknès,Fes,El Mariniyine,HR,Hôpital Régional,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Maternité"
Al Ghassani,Fès-Meknès,Fes,Agdal,HR,Hôpital Régional,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Maternité"
Hôpital d'Oncologie,Fès-Meknès,Fes,Saiss,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Hôpital des spécialités,Fès-Meknès,Fes,Saiss,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Hôpital Mère-Enfant,Fès-Meknès,Fes,Saiss,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
20 Aout (Azrou),Fès-Meknès,Ifrane,Azrou,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Mohamed V,Fès-Meknès,Sefrou,Sefrou,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Hassan II,Fès-Meknès,Taounate,Ghafsai,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Taounate,Fès-Meknès,Taounate,Taounate,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Ibn Baja,Fès-Meknès,Taza,Taza,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Al Idrissi,Rabat-Salé-Kénitra,Kenitra,Kénitra,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Azzamouri,Rabat-Salé-Kénitra,Kenitra,Kénitra,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Zoubir Skirej,Rabat-Salé-Kénitra,Kenitra,Souk El Arbaa,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Tiflet,Rabat-Salé-Kénitra,Khémisset,Tiflet,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Khémisset,Rabat-Salé-Kénitra,Khémisset,Khémisset,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Roummani,Rabat-Salé-Kénitra,Khémisset,Rommani,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Moulay Youssef (Ancien hôpital de Rabat),Rabat-Salé-Kénitra,Rabat,Hassan,HR,Hôpital Régional,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Maternité"
Med Ben Abdellah,Rabat-Salé-Kénitra,Rabat,Agdal Riyad,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Maternité Orangers,Rabat-Salé-Kénitra,Rabat,Agdal Riyad,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Hôpital D'enfants,Rabat-Salé-Kénitra,Rabat,Agdal Riyad,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Hôpital Des Spécialités,Rabat-Salé-Kénitra,Rabat,Agdal Riyad,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Ibn Sina,Rabat-Salé-Kénitra,Rabat,Agdal Riyad,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Maternité Souissi,Rabat-Salé-Kénitra,Rabat,Agdal Riyad,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Moulay Abdellah (Hôp.préféctoral),Rabat-Salé-Kénitra,Salé,Hssaine,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
El Ayachi,Rabat-Salé-Kénitra,Salé,Bab Lamrissa,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
My Youssef,Rabat-Salé-Kénitra,Salé,Tabriquet,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Arrazi,Rabat-Salé-Kénitra,Salé,Tabriquet,CPU,Centre Psychiatrique Universitaire,Hôpital,"Psychiatrie,Santé mentale,Addictologie"
Sidi Kacem,Rabat-Salé-Kénitra,Sidi Kacem,Sidi Kacem,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Jorf Elmelha,Rabat-Salé-Kénitra,Sidi Kacem,Jorf El Melha,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Sidi Slimane,Rabat-Salé-Kénitra,Sidi Slimane,Sidi Slimane,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Princesse Lalla Aicha (Ancien Sidi Lahcen),Rabat-Salé-Kénitra,Skhirate-Temara,Témara,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Demnate,Béni Mellal-Khénifra,Azilal,Demnate,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Haut Atlas Central,Béni Mellal-Khénifra,Azilal,Azilal,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Moulay Ismail,Béni Mellal-Khénifra,Beni Mellal,Kasba Tadla,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Beni Mellal,Béni Mellal-Khénifra,Beni Mellal,Béni Mellal,HR,Hôpital Régional,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Maternité"
Beni Mellal,Béni Mellal-Khénifra,Beni Mellal,Ouled M'Barek,CRO,Centre Régional d'Oncologie,Hôpital,"Oncologie,Chimiothérapie,Radiothérapie,Hématologie oncologie"
Souk Sebt,Béni Mellal-Khénifra,Fkih Ben Saleh,Fquih Ben Salah,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Fquih Ben Salah,Béni Mellal-Khénifra,Fkih Ben Saleh,Fquih Ben Salah,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
M'Rirt,Béni Mellal-Khénifra,Khenifra,M'Rirt,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Khenifra,Béni Mellal-Khénifra,Khenifra,Khenifra,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Hassan II,Béni Mellal-Khénifra,Khouribga,Khouribga,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Mohamed VI,Béni Mellal-Khénifra,Khouribga,Bejaad,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Oued.Zem,Béni Mellal-Khénifra,Khouribga,Oued Zem,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Benslimane (Hassan II),Casablanca-Settat,Benslimane,Benslimane,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Berrchid,Casablanca-Settat,Berrechid,Berrechid,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Errazi,Casablanca-Settat,Berrechid,Berrechid,HPsyP,Hôpital Psychiatrique Préfectoral,Hôpital,"Psychiatrie,Santé mentale"
Azemmour,Casablanca-Settat,El Jadida,Azemmour,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Mohamed V,Casablanca-Settat,El Jadida,El Jadida,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Mediouna,Casablanca-Settat,Mediouna,Mediouna,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Tit Mellil,Casablanca-Settat,Mediouna,Sidi Hajjaj Oued Hassar,HPsyP,Hôpital Psychiatrique Préfectoral,Hôpital,"Psychiatrie,Santé mentale"
My Abdellah,Casablanca-Settat,Mohammedia,Mohammadia,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Bouskoura,Casablanca-Settat,Nouaceur,Bouskoura,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Prince My Hassan,Casablanca-Settat,Nouaceur,Dar Bouazza,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Hassan II,Casablanca-Settat,Settat,Settat,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Ben Ahmed,Casablanca-Settat,Settat,Ben Ahmed,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Sidi Bennour,Casablanca-Settat,Sidi Bennour,Sidi Bennour,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Zmamra,Casablanca-Settat,Sidi Bennour,Zemamra,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
20 Aout 1953,Casablanca-Settat,Casablanca Anfa,El Maarif,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Ibn Rochd,Casablanca-Settat,Casablanca Anfa,El Maarif,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Hôpital D'enfants,Casablanca-Settat,Casablanca Anfa,El Maarif,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
My Youssef,Casablanca-Settat,Casablanca Anfa,Sidi Belyout,HR,Hôpital Régional,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Maternité"
Mohamed Baouafi,Casablanca-Settat,Al Fida-Mers Sultan,Al-Fida,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Mohamed V,Casablanca-Settat,Aïn Sebaâ-Hay Mohammadi,Hay Mohammadi,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
El Hassani,Casablanca-Settat,Hay Hassani,Hay-Hassani,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Centre de Léprologie,Casablanca-Settat,Aïn Chok,Aîn-Chock,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Mohamed Sekkat,Casablanca-Settat,Aïn Chok,Aîn-Chock,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
HPr Sidi Moumen,Casablanca-Settat,Sidi Bernoussi,Sidi Moumen,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Al Mansour,Casablanca-Settat,Sidi Bernoussi,Sidi Bernoussi,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Ben Msick,Casablanca-Settat,Ben Msick,Ben M'Sick,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Sidi Othmane,Casablanca-Settat,Moulay Rachid,Sidi Othmane,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Mohammed VI,Marrakech-Safi,Al Haouz,Tahannaout,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Mohamed Vi,Marrakech-Safi,Chichaoua,Chichaoua,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Princesse Lalla Khadija,Marrakech-Safi,El Kelaa Des Sraghna,Tamallalt,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Assalama,Marrakech-Safi,El Kelaa Des Sraghna,El Kelaâ des Sraghna,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Hôpital psychiatrique,Marrakech-Safi,El Kelaa Des Sraghna,El Kelaâ des Sraghna,HPsyP,Hôpital Psychiatrique Préfectoral,Hôpital,"Psychiatrie,Santé mentale"
Sidi Med Ben Abdellah,Marrakech-Safi,Essaouira,Essaouira,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Ibn Tofeil,Marrakech-Safi,Marrakech,Gueliz,HIR,Hôpital Intégré de Référence,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Réanimation,Maternité"
Ibn Nafis,Marrakech-Safi,Marrakech,Gueliz,CPU,Centre Psychiatrique Universitaire,Hôpital,"Psychiatrie,Santé mentale,Addictologie"
